DB09150,DB06703,D009385
DB00531,DB00441,D007160
DB00531,DB00541,D016545
DB00987,DB00563,D008228
DB11595,DB15078,D009370
DB01101,DB14922,D018307
DB11942,DB09570,D009423
DB12301,DB01201,D015229
DB01042,DB00541,D015785
DB00531,DB00073,D006402
DB00313,DB00320,D051270
DB08930,DB01264,D000690
DB09035,DB16250,D001984
DB01181,DB11581,D007160
DB01234,DB06809,D006402
DB00002,DB00544,D009375
DB11127,DB05812,D011469
DB01008,DB00563,D008223
DB00650,DB01248,D004066
DB00441,DB00305,D009369
DB01073,DB01042,D017599
DB00112,DB12332,D009370
DB08899,DB00499,D005834
DB09037,DB00041,D054219
DB11613,DB08934,D006525
DB09078,DB15463,D000230
DB09110,DB00563,D008223
DB01281,DB01042,D006453
DB00098,DB00087,D006402
DB00688,DB00316,D014652
DB08935,DB11581,D008223
DB00112,DB00650,D004700
DB08912,DB08911,D030342
DB08899,DB00499,D011471
DB08899,DB11730,D014565
DB11596,DB01248,D005770
DB00650,DB11945,D003108
DB00773,DB01202,D009375
DB00563,DB00987,D015470
DB00853,DB11919,D009375
DB00688,DB01042,D030342
DB00773,DB00877,D009423
DB01030,DB01202,D009373
DB09078,DB01101,D009057
DB11672,DB15588,D009371
DB00515,DB14922,D006258
DB00531,DB01229,D005767
DB08877,DB08889,D010265
DB00773,DB00316,D008206
DB01073,DB00091,D009370
DB11945,DB11760,D007680
DB12170,DB14707,D005909
DB00541,DB00982,D009369
DB00544,DB09539,D009375
DB08889,DB09331,D020969
DB01590,DB06603,D020295
DB09331,DB00541,D008206
DB00707,DB00965,D012140
DB12170,DB14707,D009370
DB11637,DB01137,D016908
DB09331,DB00541,D007154
DB00087,DB00039,D003240
DB00650,DB00762,D002292
DB11730,DB00441,D010871
DB11641,DB01248,D014571
DB14707,DB01248,D002277
DB06186,DB12513,D009373
DB11581,DB09053,D008228
DB00928,DB00531,D054198
DB01075,DB01101,D007410
DB01257,DB11580,D014570
DB00503,DB00207,D018352
DB12827,DB00853,D001927
DB11703,DB00773,D007154
DB00480,DB00860,D008206
DB09053,DB00073,D007938
DB01229,DB16296,D014565
DB06151,DB13281,D007239
DB00398,DB06287,D002277
DB01248,DB00441,D009372
DB00186,DB01008,D012873
DB00454,DB00087,D007154
DB00544,DB00002,D012002
DB01073,DB00877,D004066
DB00530,DB00650,D004067
DB09074,DB00635,D014565
DB00864,DB00531,D006402
DB00958,DB12282,D010049
DB00087,DB00877,D008206
DB01234,DB01590,D013280
DB05239,DB08881,D009362
DB09037,DB00072,D015179
DB08910,DB00997,D007160
